Customer_ID,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
CUS_0x1000,Alistair Barrf,17.375,913-74-1218,Lawyer,30625.94,2706.161667,6,5,27,2,"Credit-Builder Loan, Home Equity Loan",62.25,25,2,11,Bad,1562.91,33.47754647,10.45833333,Yes,42.94109042,158.5497352,High_spent_Medium_value_payments,335.3753411,0
CUS_0x1009,Arunah,25.75,063-67-6938,Mechanic,52312.68,4250.39,6,5,17,4,"Home Equity Loan, Credit-Builder Loan, Payday Loan",7.25,18,10,3,Standard,202.68,29.83998399,30.71428571,Yes,108.3664671,146.6793779,High_spent_Medium_value_payments,428.743155,1
CUS_0x100b,Shirboni,18.5,238-62-0395,Media_Manager,113781.39,9549.7825,1,4,1,0,Sin_prestamo,13.5,7,11,2,Good,1030.2,34.84144912,15.57142857,No,0.0,505.3865264,High_spent_Large_value_payments,781.2297763,0
CUS_0x1011,Schneyerh,43.875,793-05-8223,Doctor,58918.47,5208.8725,3,3,17,3,"Student Loan, Credit-Builder Loan, Debt Consolidation Loan",27.25,14,14,7,Standard,473.14,27.65589672,15.54166667,Yes,123.4349388,311.0609143,Low_spent_Medium_value_payments,332.6428375,1
CUS_0x1013,Cameront,43.75,930-49-9615,Mechanic,98620.98,7962.415,3,3,6,3,"Student Loan, Debt Consolidation Loan, Personal Loan",12.5,8,2,3,Good,1233.51,31.93394005,17.53571429,No,228.0180837,355.4424076,High_spent_Medium_value_payments,472.7810087,1
CUS_0x1015,Holtono,27.0,810-97-7024,Journalist,46951.02,3725.585,7,4,16,0,Sin_prestamo,8.0,9,16,8,Standard,340.22,35.18288341,21.1547619,Yes,0.0,263.8122743,Low_spent_Medium_value_payments,398.2177487,2
CUS_0x1018,Felsenthalq,15.0,731-19-8119,Accountant,61194.81,5014.5675,7,7,23,8,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Student Loan, Home Equity Loan, Personal Loan, Credit-Builder Loan",23.375,22,29,8,Bad,2773.09,28.2936405,13.95833333,Yes,225.3686914,225.4569233,High_spent_Medium_value_payments,320.6311353,0
CUS_0x1026,Josephv,51.5,500-62-9044,Manager,170614.28,14463.85667,2,6,9,2,"Payday Loan, Auto Loan",-1.125,2,1,3,Good,849.69,37.188278,20.38095238,No,208.9074794,340.6279762,High_spent_Medium_value_payments,1170.605581,1
CUS_0x102d,Neil Chatterjeex,30.375,692-71-7552,Entrepreneur,89064.52,7256.043333,5,3,1,1,Mortgage Loan,5.375,5,7,3,Good,648.36,33.92732874,29.95238095,No,37.57275058,384.9201449,Low_spent_Medium_value_payments,573.1114378,2
CUS_0x102e,Rhysn,25.75,352-23-4930,Scientist,50807.44,4197.953333,8,4,11,4,"Mortgage Loan, Home Equity Loan, Home Equity Loan",12.125,10,3,4,Standard,869.59,34.27525362,22.58333333,Yes,88.75991925,112.06783,High_spent_Medium_value_payments,473.9675841,1
CUS_0x1032,Wahbap,40.0,620-58-8045,Lawyer,60410.94,5274.245,4,7,17,4,"Student Loan, Home Equity Loan, Payday Loan",23.625,9,8,8,Standard,1852.86,30.39801828,15.98809524,Yes,149.9263874,262.4567851,Low_spent_Small_value_payments,385.0413275,1
CUS_0x1037,Matthewm,44.375,230-22-9583,Accountant,15989.085,1086.42375,5,4,2,4,"Credit-Builder Loan, Auto Loan, Auto Loan, Mortgage Loan",11.75,15,0,3,Good,665.82,33.31409852,19.45833333,No,33.79702063,94.49894207,Low_spent_Small_value_payments,266.5964123,2
CUS_0x1038,B.h,27.25,355-00-7832,Architect,129473.16,10959.43,3,4,10,3,"Payday Loan, Payday Loan, Home Equity Loan",25.375,14,8,9,Standard,568.21,35.21315934,19.70833333,Yes,255.327905,536.1027219,High_spent_Medium_value_payments,573.2623731,1
CUS_0x103e,Tim Kellyf,40.0,155-72-8070,Scientist,98690.8,8262.233333,4,6,9,1,Student Loan,6.125,18,9,3,Good,706.96,34.49879826,26.61904762,No,55.00440757,383.3965875,Low_spent_Small_value_payments,657.8223383,0
CUS_0x1041,Jonathan Stempela,14.75,675-80-2033,Teacher,8978.11,894.1758333,8,8,30,9,"Payday Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Mortgage Loan, Student Loan",48.875,17,18,10,Bad,4913.15,32.05357226,10.10714286,Yes,57.67965791,36.41969665,High_spent_Medium_value_payments,260.3060309,1
CUS_0x1044,Maki Shirakip,44.0,261-18-4430,Entrepreneur,33441.59,2748.799167,2,4,1,0,Sin_prestamo,2.0,4,11,4,Good,154.96,30.57619388,31.625,No,0.0,155.258867,High_spent_Medium_value_payments,380.8710497,1
CUS_0x1048,Janet McGurtyg,26.85714286,808-81-2470,Accountant,42387.54,3680.295,3,7,26,7,"Personal Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, Debt Consolidation Loan",9.25,8,14,7,Standard,1835.67,31.50255822,9.726190476,Yes,225.883369,201.7273434,High_spent_Medium_value_payments,213.0058699,0
CUS_0x104a,Leahk,36.83333333,652-58-5852,Mechanic,14981.39,1461.449167,2,7,5,4,"Mortgage Loan, Auto Loan, Payday Loan",1.375,6,1,4,Good,1122.46,33.27795098,31.95833333,No,38.11596752,81.28891268,High_spent_Medium_value_payments,296.7400365,1
CUS_0x104e,Kentaros,50.0,837-93-5062,Teacher,19180.87,1688.405833,8,4,18,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, Payday Loan",5.625,17,9,4,Standard,1127.57,30.92479129,24.875,No,57.36421101,98.53083778,Low_spent_Small_value_payments,285.4455345,1
CUS_0x104f,Markm,19.71428571,264-84-8069,Architect,11336.835,992.73625,4,6,14,6,"Auto Loan, Payday Loan, Student Loan, Auto Loan, Auto Loan, Personal Loan",29.375,19,15,7,Standard,177.98,31.15740357,14.58333333,Yes,35.56273086,56.05872841,Low_spent_Small_value_payments,270.6586224,1
CUS_0x1051,Lucia Mutikanin,41.42857143,232-33-7638,Engineer,35022.22,2859.518333,3,5,4,1,Student Loan,5.25,11,2,4,Good,1000.44,30.79541869,28.20833333,No,21.21457645,171.3125855,High_spent_Large_value_payments,371.2827552,2
CUS_0x1056,Hornbyb,44.0,081-93-4350,Entrepreneur,16053.86,1196.821667,8,6,24,5,"Student Loan, Student Loan, Personal Loan, Debt Consolidation Loan",25.625,16,2,8,Bad,2107.76,35.69876848,15.88095238,Yes,44.86029054,88.97726951,Low_spent_Small_value_payments,267.0946066,0
CUS_0x1057,David Sheppardv,45.625,741-07-3912,Writer,86617.16,7250.096667,8,4,6,3,"Auto Loan, Student Loan, Payday Loan",16.75,20,11,4,Standard,718.53,33.58106288,24.625,No,141.3820546,418.1397362,High_spent_Large_value_payments,588.7545562,1
CUS_0x105b,Patricia Zengerlel,24.0,066-65-6008,Accountant,34428.21,2467.983575,2,4,8,0,Sin_prestamo,3.875,12,9,0,Good,180.7,35.00115528,27.25,No,122.3244856,100.1968308,High_spent_Medium_value_payments,422.3049192,2
CUS_0x105c,Lopezz,54.0,998-18-7252,Journalist,127617.6,10596.8,0,4,5,3,"Mortgage Loan, Payday Loan",5.625,6,10,0,Good,542.91,33.09480451,24.07142857,No,211.054606,335.5515437,High_spent_Medium_value_payments,719.8887498,1
CUS_0x1063,Sylvia Westallq,19.625,883-38-8680,Architect,128698.76,10628.89667,7,5,10,4,"Personal Loan, Mortgage Loan, Payday Loan, Debt Consolidation Loan",9.125,16,11,11,Standard,583.11,34.20035624,16.64285714,Yes,251.6127821,271.9753113,High_spent_Large_value_payments,795.3324632,1
CUS_0x1069,Andreas Cremero,32.0,761-27-5143,Accountant,58637.34,4799.445,4,6,10,3,"Personal Loan, Auto Loan",8.375,18,12,5,Standard,208.8,31.08347341,30.375,Yes,139.8850134,177.9544628,High_spent_Medium_value_payments,355.715434,1
CUS_0x106f,Alwyn Scottk,54.375,517-96-1022,Developer,134035.08,11102.59,0,5,10,2,"Home Equity Loan, Mortgage Loan",3.0,7,10,6,Good,767.91,37.79968648,24.625,No,316.8431989,583.1834977,High_spent_Medium_value_payments,656.9094491,2
CUS_0x1075,Dorfmanv,38.25,225-94-8383,Manager,24709.33,2009.789776,5,5,6,3,"Student Loan, Debt Consolidation Loan, Personal Loan",26.5,11,7,1,Good,413.18,31.87016534,17.58333333,No,119.7061038,115.1619369,Low_spent_Small_value_payments,328.4674917,0
CUS_0x107c,Karenh,14.25,712-17-7369,Journalist,49718.55,4179.2125,7,10,27,6,"Payday Loan, Mortgage Loan, Home Equity Loan, Payday Loan, Auto Loan, Auto Loan",27.125,17,6,7,Bad,1920.25,32.85946193,13.71428571,Yes,231.9567806,185.8862093,High_spent_Medium_value_payments,256.3282601,0
CUS_0x107e,Lianaj,14.25,463-69-6790,Architect,75095.91,6269.9925,5,6,15,6,"Personal Loan, Payday Loan, Personal Loan, Student Loan, Home Equity Loan, Payday Loan",8.75,10,15,8,Standard,989.71,32.11479697,11.70833333,Yes,261.8424087,300.6127437,High_spent_Large_value_payments,317.476445,1
CUS_0x1087,Alistairy,51.0,620-14-7570,Doctor,42153.13,3377.760833,5,4,10,3,"Payday Loan, Payday Loan",9.125,10,5,6,Good,1027.64,30.75113991,28.125,No,79.29961146,183.9918693,Low_spent_Small_value_payments,365.8096337,1
CUS_0x108a,Silvial,38.0,394-00-8142,Journalist,36982.36,2627.399398,7,9,21,9,"Student Loan, Student Loan, Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, Student Loan, Personal Loan",15.75,15,25,14,Bad,4882.12,31.8399161,7.458333333,Yes,390.9071746,189.9970419,High_spent_Medium_value_payments,159.2692494,1
CUS_0x1096,Edward Krudyk,42.625,228-65-4194,Lawyer,12931.56,1348.63,4,4,9,3,"Debt Consolidation Loan, Home Equity Loan",19.125,20,19,3,Standard,752.86,28.42219964,21.01190476,Yes,20.57915471,85.09033876,Low_spent_Small_value_payments,309.1935065,0
CUS_0x1098,Krudyz,22.25,466-10-5742,Musician,20652.98,1468.081667,7,5,21,2,"Auto Loan, Payday Loan",22.5,13,14,8,Standard,1859.53,32.16747076,18.625,Yes,33.23835624,69.08726258,Low_spent_Medium_value_payments,327.5877762,0
CUS_0x109b,Gillesy,55.0,661-04-3699,Manager,31641.93,2610.8275,4,6,7,3,"Personal Loan, Student Loan, Personal Loan",24.875,12,9,1,Standard,583.6,31.96518847,20.125,No,60.33629927,127.2981505,High_spent_Medium_value_payments,334.8496293,1
CUS_0x109d,Langep,44.85714286,260-21-1290,Writer,49140.87,4377.0725,10,6,27,6,"Mortgage Loan, Mortgage Loan, Payday Loan, Payday Loan",35.625,18,16,11,Bad,2950.8,30.48405247,6.25,Yes,154.1724263,186.1423297,High_spent_Small_value_payments,356.6605445,1
CUS_0x109f,Vellacottj,40.57142857,283-32-0255,Teacher,130435.86,10623.655,4,6,9,2,"Home Equity Loan, Home Equity Loan",16.375,1,11,0,Good,942.71,33.23765177,29.6547619,No,188.1861332,514.8969918,Low_spent_Medium_value_payments,579.8952295,0
CUS_0x10a9,ini Kristenr,41.0,514-08-4156,Journalist,17603.265,1393.607826,8,6,4,0,Sin_prestamo,9.0,9,8,4,Standard,836.66,31.17768388,15.45833333,No,38.62228936,85.62581462,Low_spent_Small_value_payments,333.0432882,1
CUS_0x10aa,Carey Gillama,19.75,101-00-4424,Musician,114432.03,9272.0025,1,2,7,0,Sin_prestamo,9.375,10,12,4,Good,444.51,36.3849811,21.25,No,0.0,317.8383626,High_spent_Medium_value_payments,814.5054562,2
CUS_0x10ac,Zhouy,28.75,780-50-4730,Developer,16718.645,1270.220417,7,3,15,4,"Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan",25.875,11,12,1,Standard,853.41,32.3681069,15.95833333,No,50.9619359,65.87923105,Low_spent_Large_value_payments,286.4599343,2
CUS_0x10b3,Johnsona,48.0,293-45-3004,Mechanic,136150.6,11127.88333,1,5,9,3,"Student Loan, Student Loan, Auto Loan",8.375,0,11,3,Good,260.29,35.0543326,27.04166667,Desconocido,177.6540722,522.4545064,High_spent_Large_value_payments,814.9057505,2
CUS_0x10b6,Gillesw,48.125,439-76-5364,Journalist,23627.63,1712.969167,7,3,19,3,"Payday Loan, Credit-Builder Loan, Debt Consolidation Loan",6.0,12,1,1,Standard,277.93,33.52407844,18.04166667,No,37.99637813,84.44194475,High_spent_Small_value_payments,310.6910212,1
CUS_0x10bb,Chyenf,35.0,075-30-4340,Journalist,60830.92,5044.243333,0,1,11,4,"Payday Loan, Home Equity Loan, Auto Loan, Debt Consolidation Loan",14.0,3,8,0,Good,133.63,32.23541376,23.58333333,No,159.799347,201.9818997,High_spent_Large_value_payments,408.3520632,2
CUS_0x10c0,Scheyderx,38.5,658-53-1756,Architect,49454.13,4328.1775,8,5,23,2,"Payday Loan, Auto Loan",59.125,25,5,8,Bad,1388.56,32.01342382,13.04166667,Yes,73.34635945,218.3336823,High_spent_Medium_value_payments,415.8802542,0
CUS_0x10c5,Moony,24.0,041-74-6785,Entrepreneur,158623.16,13180.59667,2,7,10,1,Payday Loan,10.0,5,7,0,Good,1134.83,35.21680375,29.875,No,91.03390498,732.5219041,Low_spent_Medium_value_payments,829.1102794,1
CUS_0x10d7,Sinead Carewm,39.0,289-56-9714,Developer,15968.14,1380.678333,7,7,21,9,"Personal Loan, Auto Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, Auto Loan, Student Loan, Personal Loan, Personal Loan",37.625,20,17,14,Bad,4912.8,30.11284762,12.08333333,Yes,77.99711822,93.05825664,Low_spent_Small_value_payments,243.7364491,0
CUS_0x10dd,Praveen Menonq,24.85714286,907-60-4113,Teacher,105645.6,9090.8,4,3,5,4,"Credit-Builder Loan, Student Loan, Payday Loan, Personal Loan",27.875,19,2,2,Standard,1336.91,32.79951318,21.03571429,No,315.4061006,377.2190238,High_spent_Small_value_payments,586.7861352,1
CUS_0x10df,Paritosh Bansalo,27.0,279-20-3097,Musician,9929.235,828.43625,4,8,23,3,"Auto Loan, Student Loan",13.625,17,12,14,Standard,2328.08,30.31592428,6.875,Yes,195.3558456,52.95863301,High_spent_Small_value_payments,282.908014,0
CUS_0x10e2,Sonalio,37.0,168-78-3262,Media_Manager,43133.85,3432.4875,10,10,31,7,"Personal Loan, Auto Loan, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan",41.75,23,7,11,Bad,2504.1,31.46655454,10.45833333,Yes,151.287255,181.9563709,Low_spent_Small_value_payments,277.5051241,0
CUS_0x10e7,Carewj,19.0,094-89-6380,Engineer,64933.76,5368.146667,3,3,33,4,"Mortgage Loan, Auto Loan, Home Equity Loan, Debt Consolidation Loan",15.625,19,18,7,Standard,2699.17,29.50382785,14.06944444,Yes,193.6925821,237.9145739,High_spent_Large_value_payments,367.1967302,0
CUS_0x10eb,Yaob,50.5,647-01-5481,Journalist,28315.95,2415.6625,4,7,10,2,"Student Loan, Payday Loan",7.125,7,11,4,Good,677.4,34.33906312,20.125,No,30.23099627,121.4295874,High_spent_Medium_value_payments,354.9056664,2
CUS_0x10ee,Hudsonb,29.75,699-80-2426,Journalist,12660.16,909.0133333,5,7,15,0,Sin_prestamo,10.75,14,10,2,Standard,456.02,30.23532213,25.03571429,No,0.0,60.03625806,Low_spent_Small_value_payments,310.538808,1
CUS_0x10f9,Gilles Guillaumev,53.71428571,746-79-6875,Lawyer,150131.68,12383.42505,5,1,4,0,Sin_prestamo,7.75,1,10,0,Good,1138.36,39.94528028,31.625,No,186.8547514,419.2016322,High_spent_Large_value_payments,1092.995701,2
CUS_0x10fd,Hendersonu,29.0,119-33-7350,Developer,39576.59,3199.049167,0,7,2,4,"Personal Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan",14.125,4,6,2,Good,226.37,30.84162241,19.63095238,No,124.3108391,134.4572655,High_spent_Large_value_payments,321.136812,0
CUS_0x10ff,Murait,36.0,149-03-5931,Accountant,16341.075,1292.75625,4,4,6,2,"Auto Loan, Student Loan",7.0,20,10,2,Standard,684.05,32.41445356,16.875,No,16.96046046,129.4202441,Low_spent_Small_value_payments,263.595984,1
CUS_0x1100,Kaorif,21.5,545-19-6617,Accountant,43062.54,3607.545,6,10,23,2,"Mortgage Loan, Student Loan",55.0,20,20,11,Standard,2169.75,30.9461327,14.92857143,Yes,47.49981874,88.26052822,High_spent_Medium_value_payments,476.244153,0
CUS_0x1107,Felsenthalv,30.625,118-70-6277,Writer,28952.76,2338.73,7,9,21,8,"Personal Loan, Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan",39.125,24,2,14,Bad,2717.85,34.30211014,0.888888889,Yes,155.779989,148.2777288,Low_spent_Small_value_payments,201.0652821,0
CUS_0x1108,en Klaymano,25.0,183-66-5001,Accountant,117499.47,9780.6225,4,5,8,0,Sin_prestamo,11.125,8,8,3,Good,337.9,35.96199573,30.36904762,No,0.0,410.1395859,Low_spent_Medium_value_payments,829.1726641,1
CUS_0x1109,Karen Freifeldf,42.25,410-39-6091,Lawyer,76284.72,6451.06,6,10,18,6,"Home Equity Loan, Credit-Builder Loan, Auto Loan, Payday Loan, Mortgage Loan",23.75,11,11,10,Standard,1957.32,31.72865477,19.86111111,Yes,222.9590023,118.6217928,High_spent_Large_value_payments,492.2757111,0
CUS_0x1119,Carlozoy,35.57142857,596-61-5235,Entrepreneur,56301.9,4593.825,9,5,26,2,Prestamo_no_especificado,16.125,18,15,10,Standard,2161.23,33.19996204,14.20833333,Yes,50.11934809,208.7237997,High_spent_Medium_value_payments,464.2893522,0
CUS_0x111b,Poornima Guptab,40.0,880-90-6663,Manager,70277.22,5633.435,3,6,7,3,Home Equity Loan,4.375,11,10,6,Good,762.48,34.25080951,20.22222222,No,149.9341064,217.8386283,High_spent_Large_value_payments,467.2523418,1
CUS_0x111c,Deepaa,23.875,420-66-8144,Journalist,71809.76,6168.146667,7,7,17,8,"Debt Consolidation Loan, Home Equity Loan, Auto Loan, Home Equity Loan, Payday Loan, Mortgage Loan, Personal Loan",52.125,15,3,7,Bad,4439.92,32.47801989,6.619047619,Yes,297.917684,226.061775,High_spent_Large_value_payments,350.3352076,0
CUS_0x1123,Suzannep,15.0,917-49-8240,Writer,15264.98,1266.081667,6,5,34,3,"Home Equity Loan, Credit-Builder Loan, Auto Loan",26.125,15,9,13,Bad,2375.88,30.3046338,8.541666667,Yes,36.79009671,75.34485398,Low_spent_Small_value_payments,286.973216,0
CUS_0x112d,James Daveyt,22.0,774-29-5843,Accountant,14728.21,1480.350833,10,9,31,5,"Payday Loan, Personal Loan, Personal Loan",47.875,10,9,6,Standard,2390.37,29.26086239,16.625,Yes,41.58565128,113.252288,Low_spent_Small_value_payments,279.1971646,0
CUS_0x112e,Sanog,31.125,981-03-7949,Mechanic,20162.26,1872.188333,8,4,11,4,"Home Equity Loan, Home Equity Loan, Personal Loan, Auto Loan",13.25,9,2,2,Standard,660.26,32.44514104,19.5,No,66.24488172,124.1737512,Low_spent_Small_value_payments,270.5502005,1
CUS_0x112f,Ju-minv,20.625,294-20-6562,Mechanic,75506.42,6050.201667,1,4,5,1,Auto Loan,0.625,2,3,6,Good,1069.19,30.88975041,23.375,No,60.90364323,403.61284,Low_spent_Small_value_payments,374.3362045,0
CUS_0x1130,Elizabethr,37.0,846-60-3664,Journalist,137798.88,10774.53326,6,5,13,0,Sin_prestamo,23.25,13,10,2,Standard,1056.3,36.70795868,27.16666667,No,617.7800571,447.2733186,High_spent_Large_value_payments,942.4097217,2
CUS_0x1132,Jonathano,39.0,152-95-7926,Mechanic,46268.4,3983.7,5,4,20,4,"Student Loan, Debt Consolidation Loan, Student Loan, Home Equity Loan",28.125,17,9,7,Standard,1447.57,28.25646438,13.70833333,Yes,103.7780501,221.1196761,Low_spent_Large_value_payments,346.7896249,0
CUS_0x1134,Stt,48.125,964-85-7634,Doctor,15279.545,1524.577883,0,5,8,3,"Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan",1.5,4,7,4,Good,168.35,31.23621092,30.61111111,No,70.60132953,90.4556705,Low_spent_Small_value_payments,314.9141042,2
